Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Malawi,1901/12,CYCLONE,1,,3,,,41,41,,,
Malawi,1901/12,Floods,1,,3,,,312,312,,,
Malawi,1901/12,HAILSTORM,2,,3,,,9,9,,,
Malawi,1902/01,Floods,3,,3,,,84,84,,,
Malawi,1902/02,Floods,12,,3,,,625,625,,,
Malawi,1902/02,Stormy Rains,2,,3,,,201,201,,,
Malawi,1902/03,Heavy rains,2,,3,,,1200,1200,,,
Malawi,1902/04,Floods,1,,3,,,,,,,
Malawi,1902/06,Heavy rain storm,1,,3,,,69,69,,,
Malawi,1905/04,Napolo,1,,3,,,,,,,
Malawi,1905/05,Floods,3,,3,,,127,127,,,
Malawi,1905/06,Boat accident,1,2,3,,,2,2,,,
Malawi,1905/06,Cholera,1,,3,,,25000,25000,,,
Malawi,1905/06,CYCLONE,1,,3,,,600,600,,,
Malawi,1905/06,DROUGHT,1,,3,,,,,,,
Malawi,1905/06,EARTHQUAKE,1,2,100,,,100,100,,,
Malawi,1905/06,FLOOD,1,,,,,57,57,,,
Malawi,1905/06,Floods,11,,,,,1051,1051,,,
Malawi,1905/06,Heavy Storm,2,,1,,,34,34,,,
Malawi,1905/06,Measles,5,8,,,,8,8,,,
Malawi,1905/06,Napolo,1,,,,,,,,,
Malawi,1905/06,Road,1,2,8,,,2,2,,,
Malawi,1905/06,Stormy Rains,1,,,,,3,3,,,
Malawi,1905/06,Train/Bus accident,1,13,45,,,48,48,,,
Malawi,1905/06,,1,,,,,,,,,
Malawi,1934/12,Stormy Rains,1,,,,,,,,,
Malawi,1960/03,Floods,1,,,,,26,26,,,
Malawi,1972/12,DROUGHT,1,,,,,,,,,
Malawi,1973/02,DROUGHT,1,,,,,84,84,,,
Malawi,1973/02,Floods,1,,,,,122,122,,,
Malawi,1973/02,STORM,1,,,,,4,4,,,
Malawi,1975/02,Floods,5,,,,,816,816,,,
Malawi,1975/06,Floods,1,,,,,107,107,,,
Malawi,1979/01,Floods,2,,,,,,,,,
Malawi,1980/03,Cholera,1,,,,,,,,,
Malawi,1982/02,Floods,1,,,,,,,,,
Malawi,1982/04,Floods,1,,,,,11,11,,,
Malawi,1983/03,Floods,1,,,,,180,180,,,
Malawi,1984/01,Floods,1,,,,,24,24,,,
Malawi,1985/03,Floods,1,,,,,87,87,,,
Malawi,1985/04,Road Accident,1,2,30,,,,,,,
Malawi,1985/06,Air crash,1,,,,,5,5,,,
Malawi,1985/06,Floods,2,,,,,488,488,,,
Malawi,1985/11,Cholera,2,,,,,,,,,
Malawi,1985/11,Road Accident,1,,,,,,,,,
Malawi,1986/02,Floods,1,,,,,235,235,,,
Malawi,1986/03,DROUGHT,1,,,,,,,,,
Malawi,1986/03,HAILSTORM,1,,,,,116,116,,,
Malawi,1986/07,Food Poisoning,2,,,,,,,,,
Malawi,1986/07,Mealy bug,1,,,,,9588,9588,,,
