Country,Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Madagascar,2012/04,FIRE,1,,,,13,,,,,
Madagascar,2012/05,EPIDEMIC,4,,,,,,,65,,
Madagascar,2012/05,FIRE,1,,,,11,,,,,
Madagascar,2012/06,EPIDEMIC,2,,,,,,,23,,
Madagascar,2012/06,FIRE,1,,1,,13,,,1,,
Madagascar,2012/07,EPIDEMIC,1,2,,,,,,5,,
Madagascar,2012/07,FIRE,1,,2,,29,,,2,,
Madagascar,2012/07,POLLUTION MARINE,1,,,,,,,,,
Madagascar,2012/08,FIRE,1,,,,23,,,,,
Madagascar,2012/09,EPIDEMIC,2,2,,,,,,6,,
Madagascar,2012/09,FIRE,1,,2,,12,,,2,,
Madagascar,2012/10,EPIDEMIC,8,7,,,,,,226,,
Madagascar,2012/10,FIRE,1,1,1,,32,,,1,,
Madagascar,2012/11,EPIDEMIC,11,6,,,,,,39,,
Madagascar,2012/11,FIRE,3,,6,,41,,454,460,,
Madagascar,2012/12,CYCLONES,1,2,,,,,,4,,
Madagascar,2012/12,EPIDEMIC,11,12,,,,,,48,,
Madagascar,2012/12,FIRE,6,,,,105,,224,224,,
Madagascar,2013/00,EPIDEMIC,3,3,,,,,,133,,
Madagascar,2013/00,LOCUST,43,,,,,,,,,
Madagascar,2013/01,CYCLONES,16,10,,,171,2215,6815,6815,2370,
Madagascar,2013/01,EPIDEMIC,27,17,,,,,,322,,
Madagascar,2013/01,FIRE,1,,,,52,,191,191,,
Madagascar,2013/02,CYCLONES,10,26,98,18,5167,34669,66845,66943,33940,
Madagascar,2013/02,EPIDEMIC,10,6,,,,,,1007,,
Madagascar,2013/02,FIRE,5,,,,136,,639,639,,
Madagascar,2013/03,EPIDEMIC,4,,,,,,,172,,
Madagascar,2013/03,FIRE,2,,,,65,,490,490,,
Madagascar,2013/04,EPIDEMIC,7,5,,,,,,38,,
Madagascar,2013/05,EPIDEMIC,7,2,,,,,,120,,
Madagascar,2013/05,FIRE,1,,,,35,,135,135,,
Madagascar,2013/06,FIRE,3,,,,128,,432,432,,
Madagascar,2013/07,EPIDEMIC,2,1,,,,,,24,,
Madagascar,2013/07,FIRE,2,,,,151,,173,173,,
Madagascar,2013/08,EPIDEMIC,1,,,,,,,6,,
Madagascar,2013/08,FIRE,7,,,,729,,1343,1343,,
Madagascar,2013/09,EPIDEMIC,4,,,,,,,4,,
Madagascar,2013/10,EPIDEMIC,8,6,,,,,,25,,
Madagascar,2013/11,EPIDEMIC,12,16,,,,,,197,,
Madagascar,2013/12,EPIDEMIC,6,5,,,,,,46,,
Madagascar,2014/01,EPIDEMIC,25,10,,,,,,409,,
Madagascar,2014/01,LOCUST,7,,,,,,,,,
Madagascar,2014/02,EPIDEMIC,31,14,,,,,,46,,
Madagascar,2014/02,LOCUST,10,,,,,,,,,
